"prop"	"symbol"	"redirected"
"http://dbpedia.org/resource/Category:National_symbols_of_Portugal"	"http://dbpedia.org/resource/Hymn_of_the_Azores"	
"http://dbpedia.org/resource/Category:National_symbols_of_Portugal"	"http://dbpedia.org/resource/Hino_da_Região_Autónoma_da_Madeira"	
"http://dbpedia.org/resource/Category:National_symbols_of_Portugal"	"http://dbpedia.org/resource/A_Portuguesa"	
"http://dbpedia.org/resource/Category:National_symbols_of_Portugal"	"http://dbpedia.org/resource/Portuguese_Crown_Jewels"	
"http://dbpedia.org/resource/Category:National_symbols_of_Portugal"	"http://dbpedia.org/resource/Guardian_Angel_of_Portugal"	
"http://dbpedia.org/resource/Category:National_symbols_of_Portugal"	"http://dbpedia.org/resource/Coat_of_arms_of_Portugal"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/Geococcyx_californianus"	"http://dbpedia.org/resource/Greater_roadrunner"
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/Flag_of_the_State_of_New_Mexico"	"http://dbpedia.org/resource/Flag_of_New_Mexico"
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/New_Mexico_state_aircraft"	"http://dbpedia.org/resource/Hot_air_balloon"
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/New_Mexico_state_amphibian"	"http://dbpedia.org/resource/New_Mexico_spadefoot_toad"
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/New_Mexico_state_bird"	"http://dbpedia.org/resource/Greater_roadrunner"
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/New_Mexico_state_fish"	"http://dbpedia.org/resource/Rio_Grande_cutthroat_trout"
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/New_Mexico_state_flag"	"http://dbpedia.org/resource/Flag_of_New_Mexico"
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/New_Mexico_state_fossil"	"http://dbpedia.org/resource/Coelophysis"
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/New_Mexico_state_gem"	"http://dbpedia.org/resource/Turquoise"
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/New_Mexico_state_grass"	"http://dbpedia.org/resource/Bouteloua_gracilis"
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/New_Mexico_state_historic_railroad"	"http://dbpedia.org/resource/Cumbres_and_Toltec_Scenic_Railroad"
